Business name,URL,Category/type,Location,Loaded successfully,First impression score,Visual quality score,Mobile conversion score,CTA clarity score,Trust signal score,Offer clarity score,Form/friction score,Speed/performance notes,SEO/local SEO notes,Standout design/conversion ideas,Weaknesses to avoid,Screenshot path,Discovery path,Discovery query,Reviewed at
Higher Ground Landscaping,https://highergroundlandscaping.com/,hardscaping; outdoor living; landscape design-build,,true,10,8,8,8,6,10,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Higher Ground Landscaping - Gallatin Valley landscape experts. H1: HIGHER GROUND LANDSCAPING. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,No homepage form detected; conversion path may require extra clicks.,research/screenshots/116-highergroundlandscaping-com.jpg,lead-sheet/domain-guess,Higher Ground Landscaping,2026-06-17T00:08:40.256Z
Horizon Landscape,https://www.horizonlandscape.com/,lawn care; hardscaping; irrigation; outdoor living; landscape design-build; commercial landscaping,"Wyckoff, NJ",true,8,10,9,10,10,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Home | Horizon Landscape Company | Wyckoff, NJ. H1: not detected. Schema detected. Location signal: Wyckoff, NJ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/116-horizonlandscape-com.jpg,lead-sheet/domain-guess,Horizon Landscape and Design,2026-06-17T00:08:40.495Z
Horizon Pediatric therapy,https://www.horizonaz.com/,hardscaping,,true,7,6,8,8,5,4,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Horizon Pediatric therapy. H1: <a href=""/""><img src=""//images.squarespace-cdn.com/content/v1/5da0cd770eb757382f5c0b2f/1576524496646-BYM9JZR6110DV707KBWO/logonew.png?format=1500w"" alt=""Horizon Pediatric therapy"" /></a>. Schema detected. Location signal not obvious from homepage text.",Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text.,research/screenshots/119-horizonaz-com.jpg,lead-sheet/domain-guess,Horizon Landscape and Design,2026-06-17T00:08:42.016Z
THE GREEN GOAT,https://www.greengoataz.com/,irrigation; landscape design-build,,true,6,6,7,7,4,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: THE GREEN GOAT - Home. H1: not detected. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,Trust proof is thin above the main homepage content.,research/screenshots/120-greengoataz-com.jpg,lead-sheet/domain-guess,Green Goat Landscaping LLC,2026-06-17T00:08:43.835Z
GreenScapes LGS Inc.,https://greenscapeslawnandgarden.com/,lawn care; irrigation,,true,10,7,7,7,4,7,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: GreenScapes LGS Inc.. H1: An organic solution for your landscape needs.. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Basic landscaping service presentation with limited standout conversion pattern.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/120-greenscapeslandcare-com.jpg,lead-sheet/domain-guess,"Greenscapes Landcare, Inc.",2026-06-17T00:08:44.063Z
Higher Ground Landscaping - Higher Ground Landscaping,https://highergroundaz.com/,hardscaping; irrigation,"Gilbert, AZ",true,8,9,9,10,7,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Home - Higher Ground Landscaping. H1: not detected. Schema detected. Location signal: Gilbert, AZ.",Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/120-highergroundaz-com.jpg,lead-sheet/domain-guess,Higher Ground Landscaping,2026-06-17T00:08:45.021Z
greengardenoutdoors.com,https://greengardenoutdoors.com/,lawn care; irrigation,,true,7,9,7,7,7,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: greengardenoutdoors.com. H1: Elevate Your Living Space. Schema detected. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/121-greengardenoutdoors-com.jpg,lead-sheet/domain-guess,Green Garden Lawn Services,2026-06-17T00:08:45.524Z
My Site,https://www.gpmlandscape.com/,irrigation; artificial turf; commercial landscaping; tree care,"Phoenix, AZ",true,8,10,7,7,10,5,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Home | My Site. H1: Built on Honesty.
Driven by Dependability.. No schema detected in homepage HTML. Location signal: Phoenix, AZ.","Uses reviews, licensing, guarantees, awards, or years-in-business proof. Service area language supports local intent.",Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/124-gpmlandscape-com.jpg,lead-sheet/domain-guess,GPM Landscape,2026-06-17T00:08:47.446Z
GPM LANDSCAPING,https://gpmlandscaping.com/,outdoor living; landscape design-build,,true,8,6,7,7,6,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: GPM LANDSCAPING. H1: Trust Us With Your Landscape Design.. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality.,Phone number is not obvious in captured homepage text.,research/screenshots/124-gpmlandscaping-com.jpg,lead-sheet/domain-guess,GPM Landscape,2026-06-17T00:08:47.594Z
Golden Landscaping,https://www.goldenlandscaping.com/,irrigation; landscape design-build; commercial landscaping,,true,8,7,8,8,5,5,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: HOME | Golden Landscaping. H1: not detected. Schema detected. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/124-goldenlandscaping-com.jpg,lead-sheet/domain-guess,Golden Landscaping LLC,2026-06-17T00:08:47.670Z
FLEXX LANDSCAPING,https://flexxlandscaping.com/,hardscaping; irrigation; outdoor living; artificial turf; landscape design-build; commercial landscaping,"Mesa, AZ",true,10,9,9,10,8,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: FLEXX LANDSCAPING. H1: LANDSCAPING & HARDSCAPES. No schema detected in homepage HTML. Location signal: Mesa, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/124-flexxlandscaping-com.jpg,lead-sheet/domain-guess,Flexx Landscaping,2026-06-17T00:08:48.220Z
Enchanted Garden Landscape,https://enchantedgardenaz.com/,hardscaping; irrigation; outdoor living; landscape design-build,"Life Custom Landscaping in Phoenix, AZ",true,8,10,9,9,8,8,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Phoenix Landscape Design &amp; Build | Enchanted Garden. H1: Live an Enchanted Life. Schema detected. Location signal: Life Custom Landscaping in Phoenix, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent. Mobile viewport includes sticky or fixed conversion action.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/128-enchantedgardenaz-com.jpg,lead-sheet/domain-guess,Enchanted Garden Landscape,2026-06-17T00:08:52.201Z
Desert Rose Exteriors,https://desertroseaz.com/,hardscaping; commercial landscaping,,true,8,10,9,10,10,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Pressure Washing in Queen Creek AZ - Desert Rose Exteriors. H1: Top Rated Pressure Washing in Queen Creek AZ. Schema detected. Location signal not obvious from homepage text.,"Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/128-desertroseaz-com.jpg,lead-sheet/domain-guess,Desert Rose Landscaping LLC.,2026-06-17T00:08:53.379Z
Epic Landscape Construction,http://epiclandscapeconstruction.com/,hardscaping; irrigation; commercial landscaping,,true,10,9,8,8,7,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Epic Landscape Construction | Epic Landscape Construction. H1: Epic Landscape Construction. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/128-epiclandscapeconstruction-com.jpg,lead-sheet/domain-guess,Epic Landscape Construction Inc,2026-06-17T00:08:53.857Z
Desert Rose Landcape,https://www.desertroselandscape.com/,hardscaping; irrigation,,true,8,9,8,8,7,7,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Landscape and Maintenance - Santa Fe NM. H1: Vote for Desert Rose – Best of Santa Fe 2026. Schema detected. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/131-desertroselandscape-com.jpg,lead-sheet/domain-guess,Desert Rose Landscaping LLC.,2026-06-17T00:08:56.712Z
diamondcutlandscaping.com,https://diamondcutlandscaping.com/,lawn care,,true,6,7,8,8,9,4,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: diamondcutlandscaping.com. H1: SITE CONTENT. Schema detected. Location signal not obvious from homepage text.,"Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality.",Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/131-diamondcutlandscaping-com.jpg,lead-sheet/domain-guess,Diamond Cut Landscape,2026-06-17T00:08:57.113Z
Desert Rose,https://desertrose.com/,outdoor living,,true,8,7,7,6,4,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Desert Rose. H1: HAPPINESS INCLUDED. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Mobile viewport includes sticky or fixed conversion action.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text.,research/screenshots/131-desertrose-com.jpg,lead-sheet/domain-guess,Desert Rose Landscaping LLC.,2026-06-17T00:09:00.151Z
Diamondcut,https://www.diamondcutlandscape.com/,landscaping,"Leetonia, OH",true,7,6,7,7,4,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: HOME | Diamondcut. H1: Call us @ 330-482-5531. Schema detected. Location signal: Leetonia, OH.",Basic landscaping service presentation with limited standout conversion pattern.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/133-diamondcutlandscape-com.jpg,lead-sheet/domain-guess,Diamond Cut Landscape,2026-06-17T00:09:01.177Z
Landscape Design,https://diamondcutaz.com/,hardscaping; irrigation; outdoor living; artificial turf; landscape design-build; commercial landscaping,,true,10,8,8,8,5,10,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Landscape Design | Diamond Cut Landscape | AZ. H1: Full-Service Landscaping, Built for Arizona Living. Schema detected. Location signal not obvious from homepage text.",Primary quote/call CTA is easy to find. Service area language supports local intent.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/133-diamondcutaz-com.jpg,lead-sheet/domain-guess,Diamond Cut Landscape,2026-06-17T00:09:02.584Z
Arizona &amp; Nevada,https://desertparadiselandscaping.com/,lawn care; landscape design-build,,true,8,10,8,8,9,6,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: not detected. H1: Arizona & Nevada. No schema detected in homepage HTML. Location signal not obvious from homepage text.,"Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Portfolio/gallery helps prove finished-work quality.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/136-desertparadiselandscaping-com.jpg,lead-sheet/domain-guess,Desert Paradise Landscape,2026-06-17T00:09:04.569Z
Desert Horizon Nursery,https://www.deserthorizonnursery.com/,hardscaping; outdoor living; landscape design-build; tree care,"S Ellsworth Rd Queen Creek, AZ",true,7,9,7,7,9,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Desert Horizon Nursery - Arizona’s Premier Plant Nursery &amp; Garden Center. H1: Arizona's Premier<br /> Plant Nursery. Schema detected. Location signal: S Ellsworth Rd Queen Creek, AZ.","Uses reviews, licensing, guarantees, awards, or years-in-business proof.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/137-deserthorizonnursery-com.jpg,lead-sheet/domain-guess,Desert Horizon Nursery,2026-06-17T00:09:06.634Z
Desert Paradise Landscape Management,https://www.desertparadiselandscape.com/,irrigation; commercial landscaping,"Location Chandler, AZ",true,10,8,8,8,5,7,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Desert Paradise Landscape Management. H1: DESERT PARADISE LANDSCAPE MANAGEMENT. Schema detected. Location signal: Location Chandler, AZ.",Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/137-desertparadiselandscape-com.jpg,lead-sheet/domain-guess,Desert Paradise Landscape,2026-06-17T00:09:06.791Z
D &amp; S Landscaping,https://dslandscape.com/,hardscaping; irrigation; commercial landscaping,"Hansen Road Tracy, CA",true,7,5,6,6,5,8,5,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: D &amp; S Landscaping - Home. H1: D & S Landscaping Inc.
. No schema detected in homepage HTML. Location signal: Hansen Road Tracy, CA.",Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/139-dslandscape-com.jpg,lead-sheet/domain-guess,D and S Landscaping,2026-06-17T00:09:08.643Z
Irrigation &amp; Lighting Experts,https://www.deckerirrigation.com/,irrigation; outdoor living; commercial landscaping,"Scottsdale, AZ",true,10,10,8,9,9,9,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Irrigation &amp; Lighting Experts | Scottsdale, AZ. H1: Irrigation & Landscape Lighting Experts in Scottsdale, AZ. No schema detected in homepage HTML. Location signal: Scottsdale, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/139-deckerirrigation-com.jpg,lead-sheet/domain-guess,Decker Irrigation,2026-06-17T00:09:09.465Z
Desert Appeal Landscaping,https://desertappeal.com/,commercial landscaping,"Phoenix, AZ",true,9,8,7,7,5,7,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Home - Desert Appeal Landscaping. H1: Full Service Commercial Landscaping Solutions. Schema detected. Location signal: Phoenix, AZ.",Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,Trust proof is thin above the main homepage content.,research/screenshots/140-desertappeal-com.jpg,lead-sheet/domain-guess,Desert Appeal Landscape LLC,2026-06-17T00:09:11.859Z
Landscape Design,https://www.crajelandscaping.com/,hardscaping; landscape design-build; commercial landscaping; tree care,"Mesa, AZ",true,10,10,8,9,10,10,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Landscape Design | Mesa, Arizona | CRAJE Landscaping. H1: C.R.A.J.E. LANDSCAPING. Schema detected. Location signal: Mesa, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/141-crajelandscaping-com.jpg,lead-sheet/domain-guess,CRAJE Landscaping LLC,2026-06-17T00:09:12.315Z
Landscape Designer Scottsdale AZ,https://www.desertenvironments.com/,hardscaping; irrigation; outdoor living; landscape design-build,"Jamie Scottsdale, AZ",true,9,7,9,10,8,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Landscape Designer Scottsdale AZ | Desert Environments. H1: Landscape Designer Scottsdale AZ. Schema detected. Location signal: Jamie Scottsdale, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/141-desertenvironments-com.jpg,lead-sheet/domain-guess,Desert Environments,2026-06-17T00:09:12.589Z
Copper Valley Landscaping,https://www.coppervalleylandscaping.com/,lawn care,,true,8,7,8,9,6,5,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Copper Valley Landscaping. H1: not detected. Schema detected. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find.,Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/144-coppervalleylandscaping-com.jpg,lead-sheet/domain-guess,Copper Valley Landscaping,2026-06-17T00:09:14.878Z
Catalina Landscape,https://catalinalandscape.com/,irrigation; landscape design-build; commercial landscaping; tree care,"W Gardner Ln Tucson, AZ",true,10,7,8,8,4,8,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Commercial Landscape in Tucson | Catalina Landscape Maintenance. H1: Commercial Landscaping Services. Schema detected. Location signal: W Gardner Ln Tucson, AZ.",Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/144-catalinalandscape-com.jpg,lead-sheet/domain-guess,Catalina Landscaping,2026-06-17T00:09:15.172Z
Century West Landsca,https://www.centurywestlandscaping.com/,commercial landscaping,"Phoenix, AZ",true,8,8,8,8,5,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Home | Century West Landscaping LLC. H1: RESIDENTIAL SERVICES. Schema detected. Location signal: Phoenix, AZ.",Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/146-centurywestlandscaping-com.jpg,lead-sheet/domain-guess,Century West Landscaping LLC,2026-06-17T00:09:17.507Z
DS Landscape &amp; Maintenance Inc.,https://dslandscaping.com/wordpressdev/,irrigation; commercial landscaping,"Casselberry, FL",true,8,6,9,9,4,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: DS Landscape &amp; Maintenance Inc.. H1: 407-732-4220. Schema detected. Location signal: Casselberry, FL.",Primary quote/call CTA is easy to find. Service area language supports local intent.,Trust proof is thin above the main homepage content.,research/screenshots/146-dslandscaping-com.jpg,lead-sheet/domain-guess,D and S Landscaping,2026-06-17T00:09:17.813Z
BrightView,https://www.brightview.com/,artificial turf; landscape design-build; commercial landscaping; tree care,,true,9,9,7,7,6,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: BrightView | Leading Commercial Landscaping Services &amp; Maintenance. H1: Consider Your Commercial Landscaping Needs Solved. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/148-brightviewlandscapes-com.jpg,lead-sheet/domain-guess,Brightview Landscapes,2026-06-17T00:09:20.082Z
D&amp;S Landscaping &#8211; Residential &amp; Commercial Landscaping,https://dandslandscaping.com/,hardscaping; outdoor living; commercial landscaping,"Uxbridge, MA",true,10,9,6,7,7,10,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: D&amp;S Landscaping &#8211; Residential &amp; Commercial Landscaping. H1: ELEVATED OUTDOOR LIVING. No schema detected in homepage HTML. Location signal: Uxbridge, MA.",Portfolio/gallery helps prove finished-work quality.,Phone number is not obvious in captured homepage text. No homepage form detected; conversion path may require extra clicks.,research/screenshots/148-dandslandscaping-com.jpg,lead-sheet/domain-guess,D and S Landscaping,2026-06-17T00:09:20.514Z
Sprinkler and Drip System Installation and Repair,https://www.callawayirrigation.com/,irrigation,"Queen Creek, AZ",true,8,9,8,9,8,5,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Home Sprinkler and Drip System Installation and Repair. H1: Sprinkler Repair & Installation. Schema detected. Location signal: Queen Creek, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/149-callawayirrigation-com.jpg,lead-sheet/domain-guess,Callaway Irrigation Company,2026-06-17T00:09:21.938Z
Blu-Sprinkler-East Valley Residential Irrigation Repairs and Installation,https://www.blusprinkler.com/,irrigation,"Queen Creek, AZ",true,8,9,8,8,9,5,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Blu-Sprinkler-East Valley Residential Irrigation Repairs and Installation - Sprinkler Repair &amp; Installation Gilbert AZ | Irrigation &amp; Drip Systems | Queen Creek | Blu Sprinkler. H1: not detected. No schema detected in homepage HTML. Location signal: Queen Creek, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Service area language supports local intent.",Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/150-blusprinkler-com.jpg,lead-sheet/domain-guess,Blu Sprinkler,2026-06-17T00:09:23.063Z
"Brazos Valley Landscape, Landscape Contractor, College Station, TX",https://www.bvlandscape.com/,hardscaping; irrigation; outdoor living; artificial turf; landscape design-build; commercial landscaping,"College Station, TX",true,10,10,8,8,9,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Brazos Valley Landscape, Landscape Contractor, College Station, TX. H1: LANDSCAPE CONTRACTOR SERVICES IN COLLEGE STATION, TX. Schema detected. Location signal: College Station, TX.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/151-bvlandscape-com.jpg,lead-sheet/domain-guess,BV Lawn Care,2026-06-17T00:09:23.958Z
Blue Leaf Landscape &amp; Design LLC,https://blueleafaz.com/,landscape design-build; commercial landscaping,,true,8,9,7,7,6,4,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Blue Leaf Landscape &amp; Design LLC. H1: BUILDING YOUR DREAMS INTO REALITY. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality.,Services/offers are not immediately clear. Phone number is not obvious in captured homepage text.,research/screenshots/153-blueleafaz-com.jpg,lead-sheet/domain-guess,Blue Leaf Landscape & Design,2026-06-17T00:09:26.171Z
BV Lawn Care,https://bvlawncare.com/,lawn care; hardscaping; irrigation; outdoor living; artificial turf; tree care,"NANCY COOK - QUEEN CREEK, AZ",true,8,10,9,10,10,8,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Top Rated Lawn Care and Lawn Service Company | BV Lawn Care. H1: We Serve the East Valley Cities. No schema detected in homepage HTML. Location signal: NANCY COOK - QUEEN CREEK, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/153-bvlawncare-com.jpg,lead-sheet/domain-guess,BV Lawn Care,2026-06-17T00:09:27.232Z
California Pools,https://www.californiapools.com/,outdoor living; commercial landscaping,,true,8,10,9,10,9,5,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Swimming Pools | California Pools. H1: Swimming pools by California Pools. Schema detected. Location signal not obvious from homepage text.,"Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality.",Services/offers are not immediately clear.,research/screenshots/154-californiapools-com.jpg,lead-sheet/domain-guess,California Pools & Landscape,2026-06-17T00:09:29.483Z
BlueStar Landscape,https://www.bluestarlandscape.com/,commercial landscaping,,true,7,8,6,6,5,3,5,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Arizona Commercial Residential Landscape Scottsdale Phoenix - BlueStar Landscape | A Resort Style Community in Bonney Lake, Washington. H1: BEAUTY CREATES VALUE.
WE HELP YOU RETAIN IT.. Schema detected. Location signal not obvious from homepage text.",Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/155-bluestarlandscape-com.jpg,lead-sheet/domain-guess,BlueStar Landscape,2026-06-17T00:09:30.270Z
A Masterplan Community of New Homes in Calaveras County,https://coppervalley.com/,landscaping,,true,6,6,6,6,3,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: A Masterplan Community of New Homes in Calaveras County – The perfect balance between historic charm and contemporary flair. H1: Copper Valley. Schema detected. Location signal not obvious from homepage text.,Basic landscaping service presentation with limited standout conversion pattern.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/155-coppervalley-com.jpg,lead-sheet/domain-guess,Copper Valley Landscaping,2026-06-17T00:09:31.372Z
Big Tree Landscaping •,https://www.bigtreelandscaping.com/,hardscaping; irrigation; landscape design-build,,true,8,7,6,6,5,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Big Tree Landscaping •. H1: Big Tree Landscaping. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content.,research/screenshots/157-bigtreelandscaping-com.jpg,lead-sheet/domain-guess,Bigtree Landscaping,2026-06-17T00:09:32.136Z
